subject,topic,subtopic,patternFamily,subtype,difficulty,gradeBand,minGrade,maxGrade,allowedGrades,allowedLevels,answerMode,optionCount,sourceFile,rowKind,bankProvenance,poolKey,itemHasExplicitGate,spine_skill_id,geography_bank_topic,spine_grade_key,stemHash,stemText
geography,homeland,homeland,moledet_geography_bank,0,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#0,1,,homeland,g1,43adf00599c2274f372f09af,מה היא ארץ ישראל?
geography,homeland,homeland,moledet_geography_bank,1,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#1,1,,homeland,g1,06a04b2466eb9b2f5b23ae1f,איזה חג יש לנו בישראל?
geography,homeland,homeland,moledet_geography_bank,2,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#2,1,,homeland,g1,f53de6ea3a28e4de24c0e870,מה הדגל של ישראל?
geography,homeland,homeland,moledet_geography_bank,3,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#3,1,,homeland,g1,7e7b58ff6abd55958dab472f,מה הסמל של ישראל?
geography,homeland,homeland,moledet_geography_bank,4,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#4,1,,homeland,g1,ad59fe37afed18cd3bb15479,איך קוראים למקום שאנחנו גרים בו?
geography,homeland,homeland,moledet_geography_bank,5,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#5,1,,homeland,g1,fd87f9779df8e55a1e5f7157,מה בירת ישראל?
geography,homeland,homeland,moledet_geography_bank,6,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#6,1,,homeland,g1,665a0bc966da29130f05f66a,מה ההמנון של ישראל?
geography,homeland,homeland,moledet_geography_bank,7,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#7,1,,homeland,g1,03b2098b6c9dd986e1943912,מה ערים גדולות בישראל?
geography,homeland,homeland,moledet_geography_bank,8,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#8,1,,homeland,g1,1a4a65a2e7f11ba7a7ba1800,מה זה מולדת?
geography,homeland,homeland,moledet_geography_bank,9,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#9,1,,homeland,g1,f9dd870d3737c7ededc3db91,אילו ימים גדולים נמצאים ליד ישראל?
geography,homeland,homeland,moledet_geography_bank,10,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#10,1,,homeland,g1,d3a9a6ba14532a048b02541f,מה זה ארץ הקודש?
geography,homeland,homeland,moledet_geography_bank,11,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#11,1,,homeland,g1,da5f2fa8523ac9d89cb0f182,איזה צבעים יש בדגל ישראל?
geography,homeland,homeland,moledet_geography_bank,12,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#12,1,,homeland,g1,d45cfd5c7404ed103b1c36f6,מה זה מנורה?
geography,homeland,homeland,moledet_geography_bank,13,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#13,1,,homeland,g1,2522ae789ef1968d63c89473,מה זה כוכב דוד?
geography,homeland,homeland,moledet_geography_bank,14,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#14,1,,homeland,g1,9dffc2578ecbb3ace5483b7f,מה זה תל אביב?
geography,homeland,homeland,moledet_geography_bank,15,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#15,1,,homeland,g1,e62c6cc013df4e9ce8aec697,מה זה חיפה?
geography,homeland,homeland,moledet_geography_bank,16,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#16,1,,homeland,g1,c98ccf12b4a5ec33adbe7a76,מה זה ים התיכון?
geography,homeland,homeland,moledet_geography_bank,17,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#17,1,,homeland,g1,ff874e2c158fe99b36a18cde,מה זה ים המלח?
geography,homeland,homeland,moledet_geography_bank,18,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#18,1,,homeland,g1,deabec1e8b5cde358e552592,מה זה חנוכה?
geography,homeland,homeland,moledet_geography_bank,19,easy,early,1,1,"[""g1""]",[],mcq,4,data/geography-questions/g1.js,geography_bank_item,static_bank,G1_EASY_QUESTIONS:homeland#19,1,,homeland,g1,78d5b1f4b747d0da30f28065,מה זה פסח?
